,date,sentiment,volume,delta
1,2014-01-02 00:00:00+00:00,-0.025032151788626722,7664.166666666667,-0.08125218843904491
2,2014-01-03 00:00:00+00:00,-0.047446235897435914,7312.5,-0.3785371441338832
5,2014-01-06 00:00:00+00:00,0.0535193442491693,19775.041666666668,0.20647438598939516
6,2014-01-07 00:00:00+00:00,0.33336803581811836,39412.083333333336,-0.1363749690050824
7,2014-01-08 00:00:00+00:00,0.3073137217974312,8849.666666666666,0.14816602846482496
8,2014-01-09 00:00:00+00:00,-0.3669701246334311,1818.6666666666667,-0.3275562771411735
9,2014-01-10 00:00:00+00:00,0.41224897387277265,1336783.9583333333,-0.21953821063417678
12,2014-01-13 00:00:00+00:00,0.627584017381903,26052.0,0.18544484428716146
13,2014-01-14 00:00:00+00:00,0.014278838092742992,13359.5,0.26032437148637655
14,2014-01-15 00:00:00+00:00,0.06509625657377117,50310.416666666664,0.12235478572313241
15,2014-01-16 00:00:00+00:00,0.1593189175518462,1070.875,-0.0207112539444978
20,2014-01-21 00:00:00+00:00,-0.009015245699493645,47644.583333333336,0.2574552611509908
21,2014-01-22 00:00:00+00:00,0.03761176854303365,47778.5,0.0191167631289062
22,2014-01-23 00:00:00+00:00,0.10216075747508306,6270.833333333333,0.19882696506567044
23,2014-01-24 00:00:00+00:00,0.07465505408199477,75610.5,-0.2526769236609816
26,2014-01-27 00:00:00+00:00,0.08490244970103705,434502.0,0.013701994725764166
27,2014-01-28 00:00:00+00:00,0.008755324871634905,1250340.0,-0.07201204616341883
28,2014-01-29 00:00:00+00:00,-0.027998920267298572,355682.1666666667,-0.10196346694707259
29,2014-01-30 00:00:00+00:00,-0.035658140140661626,13436.5,-0.08794323594096198
30,2014-01-31 00:00:00+00:00,0.01482767358073747,42154.375,0.17269928358962972
33,2014-02-03 00:00:00+00:00,0.14713178314491263,1783.8333333333333,-0.03441323943206598
34,2014-02-04 00:00:00+00:00,0.009140462669893875,53710.0,0.09367963849068772
35,2014-02-05 00:00:00+00:00,0.2716608394160584,3196.6666666666665,0.1921359179033182
36,2014-02-06 00:00:00+00:00,0.07510371922765251,17893.5,0.0785322326809208
37,2014-02-07 00:00:00+00:00,0.36891602095375725,190300.0,-0.054492389031487676
40,2014-02-10 00:00:00+00:00,0.35842145995062846,615740.0,0.3311192412369621
41,2014-02-11 00:00:00+00:00,0.2200906418554477,4326.0,0.17148872145231664
42,2014-02-12 00:00:00+00:00,0.2664663145828216,6615.375,-0.0330169244689813
43,2014-02-13 00:00:00+00:00,0.01433939617591877,151016.66666666666,0.3131686366437165
44,2014-02-14 00:00:00+00:00,0.057232460510069395,27401.5,0.04872336953426881
48,2014-02-18 00:00:00+00:00,0.009884047666335648,31468.75,-0.0003201205484160141
49,2014-02-19 00:00:00+00:00,0.3208394008362886,7872.083333333333,-0.2365587185627369
50,2014-02-20 00:00:00+00:00,0.05863877300613497,3803.3333333333335,-0.058979203837356664
51,2014-02-21 00:00:00+00:00,-0.027747750193948803,1611.25,-0.24168754304146844
54,2014-02-24 00:00:00+00:00,0.03758266809218343,4559.75,0.14103785984240247
55,2014-02-25 00:00:00+00:00,0.0013334813893577328,55815.958333333336,-0.2346362922306824
56,2014-02-26 00:00:00+00:00,0.017461932714210617,10462.833333333334,-0.20065900724440056
57,2014-02-27 00:00:00+00:00,0.1264218211893144,60455.0,0.33753032309734365
58,2014-02-28 00:00:00+00:00,0.06763612575797522,15172.0,-0.09103404671976278
61,2014-03-03 00:00:00+00:00,0.15257534482758622,1160.0,0.13911547215532138
62,2014-03-04 00:00:00+00:00,0.02435639163767774,19739.333333333332,0.0076931635109041
63,2014-03-05 00:00:00+00:00,0.4764136593670561,19652.875,0.04615898267110197
64,2014-03-06 00:00:00+00:00,-0.12655789579967688,4952.0,-0.06539018311445233
65,2014-03-07 00:00:00+00:00,-0.1221283505154639,6628.333333333333,-0.020835222926734787
68,2014-03-10 00:00:00+00:00,0.02045916634176936,46702.791666666664,0.08205698621642554
69,2014-03-11 00:00:00+00:00,0.14779514194918977,45090.958333333336,0.02051338639181921
70,2014-03-12 00:00:00+00:00,0.13204081574093054,15246.875,0.06731257520767642
71,2014-03-13 00:00:00+00:00,0.0051113635056645,8694.5,-0.21764770635743602
72,2014-03-14 00:00:00+00:00,0.29901383975026014,880.9166666666666,-0.1314222887013372
75,2014-03-17 00:00:00+00:00,-0.05698514868907268,2604.7083333333335,-0.03077093393363839
76,2014-03-18 00:00:00+00:00,0.029449936359779355,5106.833333333333,0.176297404724302
77,2014-03-19 00:00:00+00:00,-0.030300968071005765,114079.95833333333,-0.032053134047796306
78,2014-03-20 00:00:00+00:00,0.37196819358816274,3379.1666666666665,-0.038143988701971665
79,2014-03-21 00:00:00+00:00,0.00984703516090584,15661.333333333334,0.030130697575870613
82,2014-03-24 00:00:00+00:00,0.013209067237852572,394034.0,0.02468179948661131
83,2014-03-25 00:00:00+00:00,-0.004932505921886189,75637.5,0.11186926786721685
84,2014-03-26 00:00:00+00:00,0.3227005718925407,22425.541666666668,-0.21604539889681718
85,2014-03-27 00:00:00+00:00,0.29377410176419966,13944.0,-0.08205869070618732
86,2014-03-28 00:00:00+00:00,-0.530277239618619,163288.125,-0.046799215242717906
89,2014-03-31 00:00:00+00:00,0.20536362258768998,14958.0,-0.07981613812206234
90,2014-04-01 00:00:00+00:00,0.00654445310470252,4490.5,0.12468950198667983
91,2014-04-02 00:00:00+00:00,0.43745881771595896,22766.666666666668,0.005448896614293375
